Name,Address,Phone,Website,Rating,PriceLevel,Types,Hours,PlaceId,Latitude,Longitude
Athletics & Recreation Fitness Center,"405 E Field Service Rd, Santa Cruz, CA 95064, USA",(831) 459-2995,http://www.goslugs.com/,3.8,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJVRW6fKRBjoARlWkP543vP7g,36.9936176,-122.0546745
Cabrillo College Gym,"Aptos, CA 95003, USA",,https://www.cabrillo.edu/wellness-education-center/,5,,establishment; gym; health; point_of_interest,,ChIJ4VsiPgAVjoARAfzJiheYeiE,36.9875358,-121.9246274
Restructure Studio,"1804 Mission St STE 102, Santa Cruz, CA 95060, USA",,,4.7,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 3:00 PM; Tuesday: 9:00 AM – 3:00 PM; Wednesday: 9:00 AM – 3:00 PM; Thursday: 9:00 AM – 3:00 PM; Friday: 9:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,ChIJqcIqCTZrjoARw66hhgPq5T8,36.9641601,-122.0426605
Fit Together Studio,"1001 Center St Ste 9, Santa Cruz, CA 95060, USA",(831) 424-1814,https://www.fittogetherstudio.com/,5,,establishment; gym; health; point_of_interest,,ChIJ5-nerxdBjoAR_iBqgM-PsJ8,36.9759192,-122.0288487
Athletics & Recreation Activities Room,"Santa Cruz, CA 95064, USA",,http://opers.ucsc.edu/,4.5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJmXcJdKRBjoARxj5mwIBfI1U,36.9943153,-122.055041
OPERS Multipurpose Room,"1156 High St, Santa Cruz, CA 95064, USA",(831) 459-3051,http://fitlife.ucsc.edu/,3.9,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,ChIJJc1feqRBjoARXOz7Dw_aVVk,36.9938132,-122.0548194
Anytime Fitness,"90 Rancho Del Mar, Aptos, CA 95003, USA",(831) 662-1977,https://www.anytimefitness.com/locations/aptos-california-4649/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=4649,4.8,,establishment; gym; health; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJ4xriCH8VjoARAwbego6rW3o,36.9770603,-121.9071149
LOLA'S,"4061 Soquel Dr A2, Soquel, CA 95073, USA",(831) 889-9277,https://lolasfitness.com/,4.8,,establishment; gym; health; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJecKyl4cVjoARfJoqtJW3iJI,36.9879048,-121.9654044
Scotts Valley Gym,"105 Whispering Pines Dr, Scotts Valley, CA 95066, USA",(831) 332-5555,http://scottsvalleygym.com/,4.2,,establishment; gym; health; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJHT2YFM5AjoARdCR3Gq8TH94,37.0421501,-122.0258714
Seascape Village Fitness,"16 Seascape Village, Aptos, CA 95003, USA",(831) 708-2323,http://www.seascapevillagefitness.com/,4.5,,establishment; gym; health; point_of_interest,"Monday: 6:00 AM – 12:00 PM, 3:00 – 7:00 PM; Tuesday: 6:00 AM – 12:00 PM, 3:00 – 7:00 PM; Wednesday: 6:00 AM – 12:00 PM, 3:00 – 7:00 PM; Thursday: 6:00 AM – 12:00 PM, 3:00 – 7:00 PM; Friday: 6:00 AM – 12:00 PM; Saturday: 8:00 AM – 12:00 PM; Sunday: Closed",ChIJyxirrcAWjoARVCwyir-DvNQ,36.952708,-121.8771516
Nightmare Muscle Santa Cruz,"151 Harvey West Blvd STE D, Santa Cruz, CA 95060, USA",(408) 337-6709,https://www.nightmaremuscle.com/location/santa-cruz-ca,4.9,,establishment; gym; health; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJP9aFcjRAjoARSPw08ns0c04,36.9829945,-122.0343649
SCG Fitness,"2351 Mission St, Santa Cruz, CA 95060, USA",(831) 600-7117,https://scgfitness.org/,5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 6:00 AM – 7:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 3:00 PM; Saturday: 8:00 AM – 1:00 PM; Sunday: 8:00 AM – 1:00 PM,ChIJDQGBWGhrjoARwWdFhn6LJMM,36.96063,-122.0478949
SCM Community Fitness,"6500 CA-9, Felton, CA 95018, USA",(831) 334-0264,http://www.scmcf831.com/,5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 6:30 PM; Tuesday: 6:00 AM – 6:30 PM; Wednesday: 6:00 AM – 6:30 PM; Thursday: 6:00 AM – 6:30 PM; Friday: 6:00 AM – 6:30 PM; Saturday: 9:00 – 11:00 AM; Sunday: Closed,ChIJcSGLpJlGjoAR_RpheYJro4U,37.0557175,-122.074681
The Movement Lab,"16 Victor Square Ext STE F, Scotts Valley, CA 95066, USA",(831) 777-5267,https://themovementlabsv.com/,5,,establishment; gym; health; physiotherapist; point_of_interest,Monday: 7:00 AM – 6:30 PM; Tuesday: 7:00 AM – 6:30 PM; Wednesday: 7:00 AM – 6:30 PM; Thursday: 7:00 AM – 6:30 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 8:00 – 11:00 AM; Sunday: Closed,ChIJX3t9pz_9S00RdXZ2NfKyQJ4,37.0609093,-122.0062597
